stop_id,stop_name,stop_lat,stop_lon
MA-00000513,Venezuela 190,-31.433647778360847,-64.18872177600862
MA-00000460,Viña Del Mar 4365,-31.460772686282812,-64.20438051223756
MA-00000452,Avenida Gobernador Amadeo Sabattini 5652,-31.45948753720936,-64.10849882831575
MA-00000449,Avenida Amadeo Sabattini 5315,-31.451767007676718,-64.1164255142212
MA-00000441,Juan Vucetich 6966,-31.465055571009465,-64.09129858016969
MA-00000434,Avenida Colón 4198,-31.397797178178486,-64.23462510108949
MA-00000421,Fernando Fader 3494,-31.380578895171354,-64.22539830207826
p3_vuelta_a1,Nueva Jersey 4808,-31.466343583066912,-64.22859379766442
MA-00000399,Avenida Armada Argentina 1571,-31.466153715024284,-64.22317743301393
MA-00000384,Avenida Armada Argentina 216,-31.452425989131626,-64.20466482639314
p19_vuelta_a,Mariano Fragueíro 3262,-31.377465371077754,-64.1838098930359
MA-00000362,Martiniano Chilavert 3891,-31.364585045594318,-64.14658427238466
MA-00000352,Cleto Aguirre 5924,-31.409225443603315,-64.26273465156557
MA-00000273,Escalante 3180,-31.44927748034413,-64.13964271545412
MA-00000262,Obispo Castellano 624,-31.41682520211988,-64.13946568965913
MA-00000649,Concejal Felipe Belardinelli 3585,-31.452233786686158,-64.1950035095215
C8477,Avenida Río Bamba 283,-31.397495,-64.256405
MA-00000954,Avenida La Donosa 5000,-31.452198008444302,-64.25131215956387
MA-00000036,Aviador Silvio Pettirossi 3631,-31.45220632916176,-64.25167322158815
MA-00000936,Prudencio Murguiondo 4611,-31.466162866170293,-64.14356946945192
MA-00000926,Avenida Idelfonso Muñecas 3993,-31.48068460766989,-64.14486765861513
C9052,Avenida 11 de Septiembre 2811,-31.444081980671363,-64.14831932634115
MA-00000907,Avenida Agustín Roque Arias 3252,-31.44578104717068,-64.24288630485536
MA-00000871,Germán Berdiales 1201,-31.35160625921154,-64.15745000901236
MA-00000863,Dirección desconocida,-31.349282331616838,-64.14916605016599
MA-00000855,Defensa S/N,-31.471342271276725,-64.20464873313905
MA-00000845,Adrián Beccar Varela 19,-31.447300455627754,-64.19846892356874
MA-00000833,Guayaquil 1002,-31.384870023271663,-64.16458725929262
C7671,Cabo Contreras 1487,-31.385777,-64.165376
p6_ida,Belgrano 554,-31.421503783395202,-64.1906261444092
MA-00000720,Dirección desconocida,-31.31494648788554,-64.21397209167482
MA-00000698,Gobernación 774,-31.477912199671675,-64.21492695808412
MA-00000656,Avenida Recta Martinoli 8946,-31.342385176768868,-64.28940653800966
MA-00000651,Avenida Ciudad De Valparaíso S/N,-31.433926984774786,-64.18468236923218
MA-00000418,Carlos Zatuszeck S/N,-31.33439450710001,-64.25609350204469
MA-00000091,Bulevar Los Alemanes 3974,-31.343292331461722,-64.22171831130983
MA-00000734,Avenida Octavio Pinto 2651,-31.38975626659044,-64.21559214591981
MA-00000631,Impira S/N,-31.463545601958025,-64.25002098083498
MA-00000620,Viña Del Mar 4736,-31.464488191555215,-64.20575380325319
MA-00000593,Camino a San Antonio 6879,-31.499933650230197,-64.18972492218019
C1638,Quinta Villa Manuela 6780,-31.34196,-64.293348
MA-00000579,Cruz Roja Argentina 763,-31.442220409145005,-64.18524026870729
MA-00000551,Avenida Emilio Olmos 492,-31.41568527758902,-64.17668938636781
MA-00000532,Tilcara 885,-31.473968467901607,-64.21553850173952
MA-00000520,Avenida Capdevila 2909,-31.376819131096703,-64.12956196814775
c6285,Cafayate 4761,-31.4639848681937,-64.20953035354616
p4_reg,Juan Vucetich 6945,-31.464899999565752,-64.09149169921876
MA-00000444,Avenida Amadeo Sabattini 5166,-31.44865508817377,-64.11977291107178
MA-00000435,Avenida Sagrada Familia 578,-31.393950814363915,-64.23387408256532
MA-00000412,Avenida Colón 3591,-31.399930926331255,-64.228413105011
MA-00000387,Avenida Vélez Sarsfield 3060,-31.445726128331323,-64.19869422912599
p19_ida_a,Avenida General Paz 417,-31.410388338111282,-64.18473601341249
MA-00000349,Sagrada Familia 1547,-31.38480133012894,-64.22521591186525
MA-00000246,Agustín Garzón 2090,-31.424699001255007,-64.15738821029665
MA-00000254,Enfermera Clermont 345,-31.40369462994157,-64.21083927154542
MA-00000232,La Rioja 3233,-31.399473044548905,-64.22234058380128
C7145,Avenida Don Bosco 6030,-31.397129,-64.261394
MA-00000953,Calle 3 S/N,-31.453133223968784,-64.25978042652577
